trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_res.keys,key_res.rt,key_res.started,key_res.stopped,zwrot,fiksa.started,fiksa.stopped,strza.started,strza.stopped,polygon_3.started,polygon_3.stopped,polygon_4.started,polygon_4.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
30,0,30,0,,,,,,,prawa,260.1839730470001,None,262.18502007200004,None,262.18502007200004,268.15379956800007,265.17272136999964,268.15379956800007,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
31,0,31,0,,,,,,,lewa,268.1924582900001,None,270.20416860099976,None,273.17222167399996,276.1731838100004,270.20416860099976,276.1731838100004,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
32,0,32,0,,,,,,,prawa,276.2063547199996,None,278.2073523230001,None,278.2073523230001,284.17750360100035,281.1749733380002,284.17750360100035,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
33,0,33,0,,,,,,,lewa,284.21068582299995,None,286.2125761360003,None,289.1774173880003,292.1790793780001,286.2125761360003,292.1790793780001,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
34,0,34,0,,,,,,,prawa,292.2139934730003,None,294.2293581220001,None,294.2293581220001,300.1977701570004,297.2136008039997,300.1977701570004,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
35,0,35,0,,,,,,,prawa,300.2343973899997,None,302.24844841699996,None,302.24844841699996,308.21706972799984,305.23344522499974,308.21706972799984,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
36,0,36,0,,,,,,,lewa,308.250953924,None,310.2526018839999,None,313.21882909099986,316.22105261199977,310.2526018839999,316.22105261199977,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
37,0,37,0,,,,,,,lewa,316.25590045399986,None,318.2736727769998,None,321.2386476929996,324.2405295669996,318.2736727769998,324.2405295669996,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
38,0,38,0,,,,,,,lewa,324.2572938889998,None,326.25982101499994,None,329.24081973600005,332.24343717600004,326.25982101499994,332.24343717600004,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
39,0,39,0,,,,,,,prawa,332.25788044,None,334.2589245899999,None,334.2589245899999,340.2276044600003,337.24400554299973,340.2276044600003,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
40,0,40,0,,,,,,,lewa,340.26095151699974,None,342.2633317870004,None,345.24573197799964,348.2467315519998,342.2633317870004,348.2467315519998,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
41,0,41,0,,,,,,,lewa,348.26684832699993,None,350.2839343610003,None,353.2657420810001,356.2664815799999,350.2839343610003,356.2664815799999,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
42,0,42,0,,,,,,,lewa,356.28602344699993,None,358.3004698220002,None,361.2896870069999,364.26902033399983,358.3004698220002,364.26902033399983,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
43,0,43,0,,,,,,,lewa,364.30430807799985,None,366.3067902499997,None,369.2705197080004,372.27145942900006,366.3067902499997,372.27145942900006,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
44,0,44,0,,,,,,,lewa,372.3228132109998,None,374.3247671019999,None,377.3065379010004,380.2908944210003,374.3247671019999,380.2908944210003,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
45,0,45,0,,,,,,,prawa,380.3246077089998,None,382.3251077570003,None,382.3251077570003,388.2941926100002,385.2927943020004,388.2941926100002,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
46,0,46,0,,,,,,,lewa,388.33012447300007,None,390.34458142600033,None,393.33080350900036,396.3125035590001,390.34458142600033,396.3125035590001,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
47,0,47,0,,,,,,,lewa,396.3490064790003,None,398.36860866000006,None,401.34906123699966,404.33293105699977,398.36860866000006,404.33293105699977,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
48,0,48,0,,,,,,,lewa,404.3667148129998,None,406.3667427629998,None,409.35030825299964,412.35132153700033,406.3667427629998,412.35132153700033,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
49,0,49,0,,,,,,,prawa,412.3688908410004,None,414.3730464910004,None,414.3730464910004,420.3399660369996,417.35301569500007,420.3399660369996,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
50,0,50,0,,,,,,,lewa,420.38789395999993,None,422.39018086299984,None,425.3569375449997,428.35907798399967,422.39018086299984,428.35907798399967,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
51,0,51,0,,,,,,,prawa,428.39026162200025,None,430.39200599800006,None,430.39200599800006,436.3642376509997,433.35880321399964,436.3642376509997,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
52,0,52,0,,,,,,,prawa,436.39217854900016,None,438.3934161090001,None,438.3934161090001,444.38297987199985,441.3821994279997,444.38297987199985,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
53,0,53,0,,,,,,,prawa,444.39615292100007,None,446.3968586410001,None,446.3968586410001,452.3648074370003,449.3637733449996,452.3648074370003,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
54,0,54,0,,,,,,,prawa,452.4024466740002,None,454.41716276900024,None,454.41716276900024,460.4024435479996,457.4027884349998,460.4024435479996,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
55,0,55,0,,,,,,,lewa,460.42076713699953,None,462.41920900900004,None,465.402080199,468.386481128,462.41920900900004,468.386481128,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
56,0,56,0,,,,,,,lewa,468.4208314309999,None,470.42094894299953,None,473.39298059500015,476.3915602979996,470.42094894299953,476.3915602979996,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
57,0,57,0,,,,,,,prawa,476.4225886690001,None,478.4232080700003,None,478.4232080700003,484.3918941439997,481.4083142239997,484.3918941439997,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
58,0,58,0,,,,,,,lewa,484.4252489600003,None,486.4262293470001,None,489.41453565899974,492.4113185790002,486.4262293470001,492.4113185790002,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
59,0,59,0,,,,,,,prawa,492.42978937000044,None,494.43300613799966,None,494.43300613799966,500.39942926500044,497.39842786699955,500.39942926500044,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
,,,,,,,,,,,,,,,,,,,500.4482427040002,None,,,,,,,
