1.6340 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
16.0028 	EXP 	Created fiksa = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([127., 127., 127.]), fillColorSpace='rgb', interpolate=True, lineColor=array([127., 127., 127.]), lineColorSpace='rgb', lineWidth=0.5, name='fiksa', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([4., 4.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
16.0042 	EXP 	Created strza = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([127., 127., 127.]), fillColorSpace='rgb', interpolate=True, lineColor=array([127., 127., 127.]), lineColorSpace='rgb', lineWidth=0.5, name='strza', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([4., 4.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
16.0054 	EXP 	Created polygon_3 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='polygon_3', opacity=1.0, ori=array(90.), pos=array([2.2, 0. ]), size=array([1., 1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
16.0066 	EXP 	Created polygon_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='polygon_4', opacity=1.0, ori=array(270.), pos=array([-2.2,  0. ]), size=array([1., 1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
16.0130 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Dziękujemy za udział w badaniu.', units='height', win=Window(...), wrapWidth=1)
16.0193 	EXP 	text: autoDraw = True
19.8443 	DATA 	Keypress: space
19.8455 	EXP 	Created sequence: random, trialTypes=1, nReps=60, seed=None
19.8460 	EXP 	New trial (rep=0, index=0): None
19.8571 	EXP 	text: autoDraw = False
19.8571 	EXP 	fiksa: autoDraw = True
21.8564 	EXP 	fiksa: autoDraw = False
21.8564 	EXP 	fiksa: autoDraw = False
21.8564 	EXP 	strza: autoDraw = True
21.8564 	EXP 	polygon_3: autoDraw = True
24.8438 	EXP 	polygon_4: autoDraw = True
27.8417 	EXP 	polygon_3: autoDraw = False
27.8417 	EXP 	polygon_4: autoDraw = False
27.8456 	EXP 	New trial (rep=1, index=0): None
27.8609 	EXP 	strza: autoDraw = False
27.8609 	EXP 	strza: autoDraw = False
27.8609 	EXP 	polygon_3: autoDraw = False
27.8609 	EXP 	polygon_4: autoDraw = False
27.8609 	EXP 	fiksa: autoDraw = True
