1.6340 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
329.2408 	EXP 	polygon_3: autoDraw = True
332.2434 	EXP 	polygon_3: autoDraw = False
332.2434 	EXP 	polygon_4: autoDraw = False
332.2458 	EXP 	New trial (rep=39, index=0): None
332.2579 	EXP 	strza: autoDraw = False
332.2579 	EXP 	polygon_3: autoDraw = False
332.2579 	EXP 	polygon_4: autoDraw = False
332.2579 	EXP 	fiksa: autoDraw = True
334.2589 	EXP 	fiksa: autoDraw = False
334.2589 	EXP 	fiksa: autoDraw = False
334.2589 	EXP 	strza: autoDraw = True
334.2589 	EXP 	polygon_3: autoDraw = True
337.2440 	EXP 	polygon_4: autoDraw = True
340.2276 	EXP 	polygon_3: autoDraw = False
340.2276 	EXP 	polygon_4: autoDraw = False
340.2475 	EXP 	New trial (rep=40, index=0): None
340.2610 	EXP 	strza: autoDraw = False
340.2610 	EXP 	strza: autoDraw = False
340.2610 	EXP 	polygon_3: autoDraw = False
340.2610 	EXP 	polygon_4: autoDraw = False
340.2610 	EXP 	fiksa: autoDraw = True
342.2633 	EXP 	fiksa: autoDraw = False
342.2633 	EXP 	strza: autoDraw = True
342.2633 	EXP 	polygon_4: autoDraw = True
345.2457 	EXP 	polygon_3: autoDraw = True
348.2467 	EXP 	polygon_3: autoDraw = False
348.2467 	EXP 	polygon_4: autoDraw = False
348.2521 	EXP 	New trial (rep=41, index=0): None
348.2668 	EXP 	strza: autoDraw = False
348.2668 	EXP 	strza: autoDraw = False
348.2668 	EXP 	polygon_3: autoDraw = False
348.2668 	EXP 	polygon_4: autoDraw = False
348.2668 	EXP 	fiksa: autoDraw = True
350.2839 	EXP 	fiksa: autoDraw = False
350.2839 	EXP 	strza: autoDraw = True
350.2839 	EXP 	polygon_4: autoDraw = True
353.2657 	EXP 	polygon_3: autoDraw = True
356.2665 	EXP 	polygon_3: autoDraw = False
356.2665 	EXP 	polygon_4: autoDraw = False
356.2720 	EXP 	New trial (rep=42, index=0): None
356.2860 	EXP 	strza: autoDraw = False
356.2860 	EXP 	polygon_3: autoDraw = False
356.2860 	EXP 	polygon_4: autoDraw = False
356.2860 	EXP 	fiksa: autoDraw = True
358.3005 	EXP 	fiksa: autoDraw = False
358.3005 	EXP 	strza: autoDraw = True
358.3005 	EXP 	polygon_4: autoDraw = True
361.2897 	EXP 	polygon_3: autoDraw = True
364.2690 	EXP 	polygon_3: autoDraw = False
364.2690 	EXP 	polygon_4: autoDraw = False
364.2903 	EXP 	New trial (rep=43, index=0): None
364.3043 	EXP 	strza: autoDraw = False
364.3043 	EXP 	polygon_3: autoDraw = False
364.3043 	EXP 	polygon_4: autoDraw = False
364.3043 	EXP 	fiksa: autoDraw = True
366.3068 	EXP 	fiksa: autoDraw = False
366.3068 	EXP 	fiksa: autoDraw = False
366.3068 	EXP 	strza: autoDraw = True
366.3068 	EXP 	polygon_4: autoDraw = True
369.2705 	EXP 	polygon_3: autoDraw = True
372.2715 	EXP 	polygon_3: autoDraw = False
372.2715 	EXP 	polygon_4: autoDraw = False
372.3124 	EXP 	New trial (rep=44, index=0): None
372.3228 	EXP 	strza: autoDraw = False
372.3228 	EXP 	polygon_3: autoDraw = False
372.3228 	EXP 	polygon_4: autoDraw = False
372.3228 	EXP 	fiksa: autoDraw = True
374.3248 	EXP 	fiksa: autoDraw = False
374.3248 	EXP 	fiksa: autoDraw = False
374.3248 	EXP 	strza: autoDraw = True
374.3248 	EXP 	polygon_4: autoDraw = True
377.3065 	EXP 	polygon_3: autoDraw = True
380.2909 	EXP 	polygon_3: autoDraw = False
380.2909 	EXP 	polygon_4: autoDraw = False
380.3117 	EXP 	New trial (rep=45, index=0): None
380.3246 	EXP 	strza: autoDraw = False
380.3246 	EXP 	strza: autoDraw = False
380.3246 	EXP 	polygon_3: autoDraw = False
380.3246 	EXP 	polygon_4: autoDraw = False
380.3246 	EXP 	fiksa: autoDraw = True
382.3251 	EXP 	fiksa: autoDraw = False
382.3251 	EXP 	fiksa: autoDraw = False
382.3251 	EXP 	strza: autoDraw = True
382.3251 	EXP 	polygon_3: autoDraw = True
385.2928 	EXP 	polygon_4: autoDraw = True
388.2942 	EXP 	polygon_3: autoDraw = False
388.2942 	EXP 	polygon_4: autoDraw = False
388.3146 	EXP 	New trial (rep=46, index=0): None
388.3301 	EXP 	strza: autoDraw = False
388.3301 	EXP 	strza: autoDraw = False
388.3301 	EXP 	polygon_3: autoDraw = False
388.3301 	EXP 	polygon_4: autoDraw = False
388.3301 	EXP 	fiksa: autoDraw = True
390.3446 	EXP 	fiksa: autoDraw = False
390.3446 	EXP 	strza: autoDraw = True
390.3446 	EXP 	polygon_4: autoDraw = True
393.3308 	EXP 	polygon_3: autoDraw = True
396.3125 	EXP 	polygon_3: autoDraw = False
396.3125 	EXP 	polygon_4: autoDraw = False
396.3329 	EXP 	New trial (rep=47, index=0): None
396.3490 	EXP 	strza: autoDraw = False
396.3490 	EXP 	polygon_3: autoDraw = False
396.3490 	EXP 	polygon_4: autoDraw = False
396.3490 	EXP 	fiksa: autoDraw = True
398.3686 	EXP 	fiksa: autoDraw = False
398.3686 	EXP 	strza: autoDraw = True
398.3686 	EXP 	polygon_4: autoDraw = True
401.3491 	EXP 	polygon_3: autoDraw = True
404.3329 	EXP 	polygon_3: autoDraw = False
404.3329 	EXP 	polygon_4: autoDraw = False
404.3561 	EXP 	New trial (rep=48, index=0): None
404.3667 	EXP 	strza: autoDraw = False
404.3667 	EXP 	polygon_3: autoDraw = False
404.3667 	EXP 	polygon_4: autoDraw = False
404.3667 	EXP 	fiksa: autoDraw = True
406.3667 	EXP 	fiksa: autoDraw = False
406.3667 	EXP 	fiksa: autoDraw = False
406.3667 	EXP 	strza: autoDraw = True
406.3667 	EXP 	polygon_4: autoDraw = True
409.3503 	EXP 	polygon_3: autoDraw = True
412.3513 	EXP 	polygon_3: autoDraw = False
412.3513 	EXP 	polygon_4: autoDraw = False
412.3540 	EXP 	New trial (rep=49, index=0): None
412.3689 	EXP 	strza: autoDraw = False
412.3689 	EXP 	strza: autoDraw = False
412.3689 	EXP 	polygon_3: autoDraw = False
412.3689 	EXP 	polygon_4: autoDraw = False
412.3689 	EXP 	fiksa: autoDraw = True
414.3730 	EXP 	fiksa: autoDraw = False
414.3730 	EXP 	fiksa: autoDraw = False
414.3730 	EXP 	strza: autoDraw = True
414.3730 	EXP 	polygon_3: autoDraw = True
417.3530 	EXP 	polygon_4: autoDraw = True
420.3400 	EXP 	polygon_3: autoDraw = False
420.3400 	EXP 	polygon_4: autoDraw = False
420.3780 	EXP 	New trial (rep=50, index=0): None
420.3879 	EXP 	strza: autoDraw = False
420.3879 	EXP 	polygon_3: autoDraw = False
420.3879 	EXP 	polygon_4: autoDraw = False
420.3879 	EXP 	fiksa: autoDraw = True
422.3902 	EXP 	fiksa: autoDraw = False
422.3902 	EXP 	fiksa: autoDraw = False
422.3902 	EXP 	strza: autoDraw = True
422.3902 	EXP 	polygon_4: autoDraw = True
425.3569 	EXP 	polygon_3: autoDraw = True
428.3591 	EXP 	polygon_3: autoDraw = False
428.3591 	EXP 	polygon_4: autoDraw = False
428.3755 	EXP 	New trial (rep=51, index=0): None
428.3903 	EXP 	strza: autoDraw = False
428.3903 	EXP 	strza: autoDraw = False
428.3903 	EXP 	polygon_3: autoDraw = False
428.3903 	EXP 	polygon_4: autoDraw = False
428.3903 	EXP 	fiksa: autoDraw = True
430.3920 	EXP 	fiksa: autoDraw = False
430.3920 	EXP 	fiksa: autoDraw = False
430.3920 	EXP 	strza: autoDraw = True
430.3920 	EXP 	polygon_3: autoDraw = True
433.3588 	EXP 	polygon_4: autoDraw = True
436.3642 	EXP 	polygon_3: autoDraw = False
436.3642 	EXP 	polygon_4: autoDraw = False
436.3786 	EXP 	New trial (rep=52, index=0): None
436.3922 	EXP 	strza: autoDraw = False
436.3922 	EXP 	polygon_3: autoDraw = False
436.3922 	EXP 	polygon_4: autoDraw = False
436.3922 	EXP 	fiksa: autoDraw = True
438.3934 	EXP 	fiksa: autoDraw = False
438.3934 	EXP 	strza: autoDraw = True
438.3934 	EXP 	polygon_3: autoDraw = True
441.3822 	EXP 	polygon_4: autoDraw = True
444.3830 	EXP 	polygon_3: autoDraw = False
444.3830 	EXP 	polygon_4: autoDraw = False
444.3854 	EXP 	New trial (rep=53, index=0): None
444.3962 	EXP 	strza: autoDraw = False
444.3962 	EXP 	polygon_3: autoDraw = False
444.3962 	EXP 	polygon_4: autoDraw = False
444.3962 	EXP 	fiksa: autoDraw = True
446.3969 	EXP 	fiksa: autoDraw = False
446.3969 	EXP 	fiksa: autoDraw = False
446.3969 	EXP 	strza: autoDraw = True
446.3969 	EXP 	polygon_3: autoDraw = True
449.3638 	EXP 	polygon_4: autoDraw = True
452.3648 	EXP 	polygon_3: autoDraw = False
452.3648 	EXP 	polygon_4: autoDraw = False
452.3846 	EXP 	New trial (rep=54, index=0): None
452.4024 	EXP 	strza: autoDraw = False
452.4024 	EXP 	strza: autoDraw = False
452.4024 	EXP 	polygon_3: autoDraw = False
452.4024 	EXP 	polygon_4: autoDraw = False
452.4024 	EXP 	fiksa: autoDraw = True
454.4172 	EXP 	fiksa: autoDraw = False
454.4172 	EXP 	strza: autoDraw = True
454.4172 	EXP 	polygon_3: autoDraw = True
457.4028 	EXP 	polygon_4: autoDraw = True
460.4024 	EXP 	polygon_3: autoDraw = False
460.4024 	EXP 	polygon_4: autoDraw = False
460.4053 	EXP 	New trial (rep=55, index=0): None
460.4208 	EXP 	strza: autoDraw = False
460.4208 	EXP 	polygon_3: autoDraw = False
460.4208 	EXP 	polygon_4: autoDraw = False
460.4208 	EXP 	fiksa: autoDraw = True
462.4192 	EXP 	fiksa: autoDraw = False
462.4192 	EXP 	strza: autoDraw = True
462.4192 	EXP 	polygon_4: autoDraw = True
465.4021 	EXP 	polygon_3: autoDraw = True
468.3865 	EXP 	polygon_3: autoDraw = False
468.3865 	EXP 	polygon_4: autoDraw = False
468.4074 	EXP 	New trial (rep=56, index=0): None
468.4208 	EXP 	strza: autoDraw = False
468.4208 	EXP 	strza: autoDraw = False
468.4208 	EXP 	polygon_3: autoDraw = False
468.4208 	EXP 	polygon_4: autoDraw = False
468.4208 	EXP 	fiksa: autoDraw = True
470.4209 	EXP 	fiksa: autoDraw = False
470.4209 	EXP 	fiksa: autoDraw = False
470.4209 	EXP 	strza: autoDraw = True
470.4209 	EXP 	polygon_4: autoDraw = True
473.3930 	EXP 	polygon_3: autoDraw = True
476.3916 	EXP 	polygon_3: autoDraw = False
476.3916 	EXP 	polygon_4: autoDraw = False
476.4081 	EXP 	New trial (rep=57, index=0): None
476.4226 	EXP 	strza: autoDraw = False
476.4226 	EXP 	strza: autoDraw = False
476.4226 	EXP 	polygon_3: autoDraw = False
476.4226 	EXP 	polygon_4: autoDraw = False
476.4226 	EXP 	fiksa: autoDraw = True
478.4232 	EXP 	fiksa: autoDraw = False
478.4232 	EXP 	fiksa: autoDraw = False
478.4232 	EXP 	strza: autoDraw = True
478.4232 	EXP 	polygon_3: autoDraw = True
481.4083 	EXP 	polygon_4: autoDraw = True
484.3919 	EXP 	polygon_3: autoDraw = False
484.3919 	EXP 	polygon_4: autoDraw = False
484.4155 	EXP 	New trial (rep=58, index=0): None
484.4252 	EXP 	strza: autoDraw = False
484.4252 	EXP 	polygon_3: autoDraw = False
484.4252 	EXP 	polygon_4: autoDraw = False
484.4252 	EXP 	fiksa: autoDraw = True
486.4262 	EXP 	fiksa: autoDraw = False
486.4262 	EXP 	fiksa: autoDraw = False
486.4262 	EXP 	strza: autoDraw = True
486.4262 	EXP 	polygon_4: autoDraw = True
489.4145 	EXP 	polygon_3: autoDraw = True
492.4113 	EXP 	polygon_3: autoDraw = False
492.4113 	EXP 	polygon_4: autoDraw = False
492.4138 	EXP 	New trial (rep=59, index=0): None
492.4298 	EXP 	strza: autoDraw = False
492.4298 	EXP 	strza: autoDraw = False
492.4298 	EXP 	polygon_3: autoDraw = False
492.4298 	EXP 	polygon_4: autoDraw = False
492.4298 	EXP 	fiksa: autoDraw = True
494.4330 	EXP 	fiksa: autoDraw = False
494.4330 	EXP 	fiksa: autoDraw = False
494.4330 	EXP 	strza: autoDraw = True
494.4330 	EXP 	polygon_3: autoDraw = True
497.3984 	EXP 	polygon_4: autoDraw = True
500.3994 	EXP 	polygon_3: autoDraw = False
500.3994 	EXP 	polygon_4: autoDraw = False
500.4482 	EXP 	strza: autoDraw = False
500.4482 	EXP 	polygon_3: autoDraw = False
500.4482 	EXP 	polygon_4: autoDraw = False
500.4482 	EXP 	text_3: autoDraw = True
503.4337 	EXP 	text_3: autoDraw = False
503.4527 	EXP 	window1: mouseVisible = True
